VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesPurchaseRatio
1128,"BROWN-FORMAN CORP",1233,"Jack Daniels No 7 Black",26.27,36.99,1750,145080,3811251.6,142049,5101919.51,672819.31,260999.2,68601.68,1290667.91,25.298,0.979,1.339
4425,"MARTIGNETTI COMPANIES",3405,"Tito's Handmade Vodka",23.19,28.99,1750,164038,3804041.22,160247,4819073.49,561512.37,294438.66,144929.24,1015032.27,21.063,0.977,1.267
17035,"PERNOD RICARD USA",8068,"Absolut 80 Proof",18.24,24.99,1750,187407,3418303.68,187140,4538120.6,461140.15,343854.07,123780.22,1119816.92,24.676,0.999,1.328
3960,"DIAGEO NORTH AMERICA INC",4261,"Capt Morgan Spiced Rum",16.17,22.99,1750,201682,3261197.94,200412,4475972.88,420050.01,368242.8,257032.07,1214774.94,27.14,0.994,1.372
3960,"DIAGEO NORTH AMERICA INC",3545,"Ketel One Vodka",21.89,29.99,1750,138109,3023206.01,135838,4223107.62,545778.28,249587.83,257032.07,1199901.61,28.413,0.984,1.397
480,"BACARDI USA INC",3858,"Grey Goose Vodka",17.77,23.99,750,138809,2466635.93,141860,3383912.4,446932.09,111699.19,89286.27,917276.47,27.107,1.022,1.372
17035,"PERNOD RICARD USA",2589,"Jameson Irish Whiskey",30.76,39.99,1750,70783,2177285.08,69627,2773367.73,614529.34,127931.67,123780.22,596082.65,21.493,0.984,1.274
3960,"DIAGEO NORTH AMERICA INC",3102,"Smirnoff Traveler",12.94,17.99,1750,161386,2088334.84,148265,2592041.35,292586.29,272422.6,257032.07,503706.51,19.433,0.919,1.241
3960,"DIAGEO NORTH AMERICA INC",3489,Tanqueray,20.73,27.99,1750,91835,1903739.55,90481,2640491.19,503661.02,166244.44,257032.07,736751.64,27.902,0.985,1.387
12546,"JIM BEAM BRANDS COMPANY",1376,"Jim Beam",16.29,21.99,1750,108866,1773427.14,107061,2435393.39,426902.78,196707.35,123880.97,661966.25,27.181,0.983,1.373
17035,"PERNOD RICARD USA",2585,"Jameson Irish Whiskey",16.42,22.99,750,93205,1530426.1,91247,2148965.53,436011.64,71840.57,123780.22,618539.43,28.783,0.979,1.404
3960,"DIAGEO NORTH AMERICA INC",2757,"Johnnie Walker Red Label",22.38,29.99,1750,66942,1498161.96,61433,1840615.67,442856.2,112875.19,257032.07,342453.71,18.605,0.918,1.229
480,"BACARDI USA INC",2663,"Dewars White Label",21.42,29.99,1750,69001,1478001.42,70122,2189368.78,495957.83,128839.08,89286.27,711367.36,32.492,1.016,1.481
10000,"MAJESTIC FINE WINES",6570,"Kendall Jackson Chard Vt RSV",6.77,10.99,750,215668,1460072.36,214238,2326007.78,189608.96,24083.77,17587.59,865935.42,37.228,0.993,1.593
9165,"ULTRA BEVERAGE COMPANY LLP",3650,"Patron Silver Tequila",33.81,48.99,750,42951,1452173.31,41639,2009508.61,662320.04,32783.09,68054.7,557335.3,27.735,0.969,1.384
3960,"DIAGEO NORTH AMERICA INC",2753,"Johnnie Walker Black Label",44.77,59.99,1750,31596,1414552.92,28372,1739044.28,507291.43,52133.72,257032.07,324491.36,18.659,0.898,1.229
17035,"PERNOD RICARD USA",5364,Kahlua,23.07,29.99,1750,60645,1399080.15,59771,1844950.29,504735.06,109817.07,123780.22,445870.14,24.167,0.986,1.319
3960,"DIAGEO NORTH AMERICA INC",8082,"Baileys Irish Cream",21.73,33.99,1750,64249,1396130.77,65184,2068091.16,494487.65,119767.49,257032.07,671960.39,32.492,1.015,1.481
3960,"DIAGEO NORTH AMERICA INC",8680,"Crown Royal",28.88,39.99,1750,47546,1373128.48,47966,1884307.34,596574.93,88129.8,257032.07,511178.86,27.128,1.009,1.372
3960,"DIAGEO NORTH AMERICA INC",4260,"Capt Morgan Original Barrel",16.66,21.99,1750,79078,1317439.48,79042,1635666.58,121065.25,145234.95,257032.07,318227.1,19.455,1,1.242
480,"BACARDI USA INC",3348,"Bombay Sapphire Gin",22.38,29.99,1750,57349,1283470.62,56888,1766391.12,460087.95,104524.54,89286.27,482920.5,27.339,0.992,1.376
480,"BACARDI USA INC",3857,"Grey Goose Vodka",38.27,49.99,1750,33388,1277758.76,32945,1699669.55,589137.79,60533.43,89286.27,421910.79,24.823,0.987,1.33
8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,19.52,24.99,1750,61936,1208990.72,61323,1528730.27,392353.54,112669.45,18544.49,319739.55,20.915,0.99,1.264
480,"BACARDI USA INC",126,"Grey Goose Vodka",20.14,32.99,1000,59878,1205942.92,58013,1736610.87,294049.49,60913.65,89286.27,530667.95,30.558,0.969,1.44
12546,"JIM BEAM BRANDS COMPANY",3512,"Pinnacle Vodka",11.76,16.99,1750,101480,1193404.8,98938,1624366.62,306439.94,181782.13,123880.97,430961.82,26.531,0.975,1.361
12546,"JIM BEAM BRANDS COMPANY",2120,"Canadian Club",12.21,16.99,1750,97473,1190145.33,94960,1554498.4,307670.2,174471.93,123880.97,364353.07,23.439,0.974,1.306
7245,"PROXIMO SPIRITS INC.",8159,"Jose Cuervo Especial",19.69,25.99,1750,59088,1163442.72,58610,1549701.9,431497.81,107685.03,38994.78,386259.18,24.925,0.992,1.332
480,"BACARDI USA INC",4243,"Bacardi Superior Rum",14.49,19.99,1750,76389,1106876.61,77041,1657809.59,342678.85,141551.61,89286.27,550932.98,33.233,1.009,1.498
8112,"MOET HENNESSY USA INC",6654,"Veuve Clicquot Brut Yellow",27.2,39.99,750,40380,1098336,38506,1584665.41,349562.06,4316.36,48347.26,486329.41,30.69,0.954,1.443
3960,"DIAGEO NORTH AMERICA INC",8512,"Baileys Irish Cream",14.72,19.99,750,72952,1073853.44,73122,1456174.78,340626.13,57570.69,257032.07,382321.34,26.255,1.002,1.356
7245,"PROXIMO SPIRITS INC.",3802,"Three Olives Vodka",13.43,18.99,1750,77066,1034996.38,74722,1408627.78,331726.63,137288.58,38994.78,373631.4,26.524,0.97,1.361
11567,"CAMPARI AMERICA",3826,"Skyy Vodka",15.74,19.99,1750,65382,1029112.68,64388,1327401.12,352821.78,118298.37,20964.81,298288.44,22.472,0.985,1.29
8112,"MOET HENNESSY USA INC",42188,"Moet & Chandon Nectar Imp Rs",34.01,52.99,750,29829,1014484.29,29498,1533634.52,132343.67,3314.23,48347.26,519150.23,33.851,0.989,1.512
